station_code,sta_lat,sta_lon
HU.ASA,14.476166666666666,44.140166666666666
HU.NNB,14.235833333333332,42.51183333333333
HU.NTK,14.5355,42.3985
HU.TKD,14.514166666666666,43.2885
M.KOB1,14.761166666666666,41.720166666666664
M.KOB2,14.8895,42.0085
M.KOB3,14.877333333333333,42.2785
HU.NIT,14.7195,43.62683333333334
HU.KUT,14.705166666666665,43.606833333333334
HU2MSR,14.452,44.3685
HU2MSN,14.421333333333333,42.500166666666665
HU.MDD,14.846,43.723499999999994
HU3MSN,14.518333333333334,42.5685
HU.MSU,14.727166666666667,43.59016666666666
HU.NUK,14.541166666666667,43.37016666666667
HU.MUD,14.432,42.478500000000004
HU.NER,14.415833333333333,44.92183333333333
HU2MOS,14.5815,41.59016666666667
HU2RUS,14.926166666666667,44.161833333333334
HU2NUK,14.543333333333335,43.511833333333335
HU2ODT,14.895,43.60183333333333
HU.MTD,14.544666666666666,41.6285
HU.STN,14.422166666666667,44.87683333333333
TU.OGA,14.6755,39.9085
TU.NIB,14.110166666666668,39.86683333333333
TU.HOJ,14.020666666666667,39.426833333333335
TU.SNR,14.3235,39.18683333333333
TU.KWT,14.1565,38.8085
TU.TB2,14.603333333333333,39.33016666666666
TU.YMZ,14.0945,37.02183333333333
TU.IWK,14.127833333333333,37.29516666666667
HR.MMA,14.11,41.261833333333335
HR.HRD,14.173666666666666,40.618500000000004
TU.KG2,14.278333333333334,39.441833333333335
TU.SKT,14.696666666666667,38.95016666666666
TU.HS5,14.296666666666667,40.5485
TU.MR3,14.122333333333334,38.63016666666667
TU.MY3,14.393333333333333,39.68183333333334
TU.FUT,14.062166666666668,40.2935
TU.SAW,14.1685,39.4585
TU.HMK,14.256166666666667,39.8585
TU.ATM,14.708666666666668,38.578500000000005
TU.KMF,14.097166666666666,38.3385
TU.SBT,14.6505,37.98516666666667
TU.KTA,14.142000000000001,37.81683333333333
TU.KNY,14.605500000000001,37.43183333333333
TU.MAI,14.6715,37.25516666666667
HR.TMR,14.250499999999999,41.1085
TU.SAD,14.385833333333332,38.34516666666667
TU.WYG,14.286333333333333,38.8235
TU.FD2,14.2715,40.1185
TU.FKU,14.661666666666667,40.6435
TU.HD3,14.281333333333333,41.36683333333333
TU.IW3,14.110833333333334,39.60183333333333
TU.EN3,14.314333333333334,38.5285
TU.SWU,14.189,39.540166666666664
HR.IWS,14.706833333333334,40.58683333333334
TU.HSK,14.296166666666666,40.54683333333333
TU.MYK,14.397333333333334,39.676833333333335
TU.AOB,14.0935,38.25516666666667
E.SOB1,14.589166666666667,39.16683333333333
E.SOB2,14.567666666666666,39.23016666666667
E.SOB3,14.531333333333334,39.35183333333333
TU.GJM,14.1125,39.9985
TU.TAZ,14.201,39.743500000000004
TU.KSN,14.246666666666666,39.06516666666667
TU.SN3,14.330333333333332,39.20183333333333
TU.KN5,14.299333333333333,38.3635
TU.NSK,14.092,39.86183333333334
TU.DIT,14.288666666666666,39.19016666666666
TU.KRS,14.316833333333333,39.411833333333334
TU.AT2,14.7085,38.621833333333335
LG.SBG,14.289333333333333,40.710166666666666
LG.UTB,14.200833333333334,40.525166666666664
LG.OAT,14.199,40.746833333333335
LG.IKM,14.233333333333334,41.4835
LG.NKD,14.309000000000001,40.4985
E.IMT1,14.1205,39.1985
E.IMT2,14.237,39.11683333333333
E.IMT3,14.105333333333334,38.886833333333335
TU.UGI,14.134500000000001,38.84016666666666
TU.GNY,14.116,38.94683333333334
TU.GTO,14.157833333333334,39.29516666666667
TU.ISB,14.155166666666668,39.261833333333335
E.TAIW,14.1165,38.47016666666667
HU.P01,14.254,39.90516666666667
